state,district,state_id,district_id,phone_1,title,phone_2,last_verified_on,quantity_available,verification_status,resource_type
Uttar Pradesh,Lucknow,35,657,294,Adarsh Gases & Techno Industries,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,6363832491,OxyShine Elite Blue,9741958428,,,verified,Concentrator
Maharashtra,Mumbai City,22,378,7760230124,Sadiq Bhai's,,"April 25, 2021 7:24 PM",,,Oxygen
Rajasthan,Jaipur,30,515,7878146067,Jaipur Gas,,,,Pending ,Cylinder
Karnataka,Bengaluru (Bangalore) Urban,19,283,9886863801,Yashashwini Medical Service,,,,verified,Cylinder
Maharashtra,Jalgaon,22,374,7703940131,"Star Special Manesar, Gurgaon",,"April 25, 2021 7:24 PM",,,Oxygen - Refill
Uttar Pradesh,Kanpur Dehat,35,650,8220182828,Peenya Industrial Gases,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Gujarat,Surat,14,200,9007744666,Shantinath Air Products Aims Oxygen Pvt. Ltd.,,4/27/2021 14:25:00,,Pending,
West Bengal,Darjeeling,37,702,8336911112,Biltu da,,5/11/2021 11:04:20,Undetermined,Call not answered,
Delhi (NCT),New Delhi,12,158,9311992231,Oxygen provider,,,,verified,refill & cylinder
West Bengal,North 24 Parganas,37,711,9331004610,Pintu Koley,,5/11/2021 11:38:15,Undetermined,Phone Unreachable,
West Bengal,North 24 Parganas,37,711,6290007276,Ghyanshyam,,5/11/2021 11:38:33,Unavailable,Verified,
West Bengal,Birbhum,37,698,9434326341,N A,,5/11/2021 13:15:12,Undetermined,Call not answered,
Uttar Pradesh,Kanpur Dehat,35,650,8208515092,Awadh Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,North 24 Parganas,37,711,9433782957,Not available,,5/10/2021 10:58:39,Unavailable,Verified,
West Bengal,North 24 Parganas,37,711,9432325299,no name,,5/10/2021 10:59:20,Undetermined,Call not answered,
West Bengal,Jalpaiguri,37,705,9635967780,Not Known,,5/11/2021 13:08:35,Undetermined,Call not answered,
Karnataka,Bengaluru (Bangalore) Urban,19,283,7204471139,Shri Shirdi Sai Oxygen Cylinder & kit,,44318,,Verified,Cylinder
West Bengal,Kolkata,37,707,9830066853,Oxygen Provider,,5/11/2021 10:32:15,Available,Verified,
Maharashtra,Mumbai City,22,378,9311633256,Swastic Traders,,"April 25, 2021 7:24 PM",,,Oxygen
Rajasthan,Jaipur,30,515,9351680147,Ashok Gas,,,,Pending ,Refill
Maharashtra,Nagpur,22,380,7567650923,Jay Gayatri Nameless,,5/1/2021,,Pending,
Tamil Nadu,Coimbatore,32,539,7397751721,"Medhire, Anita Seva Gases",,5/1/2021 12:30:00,,Available and verified,
West Bengal,Alipurduar,37,696,8001720684,Lions Eye Hospital,,5/11/2021 11:04:31,Unavailable,Verified,
Maharashtra,Kolhapur,22,376,9313784962,Oxygen Cylinder,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,6363661848,Veeresh Oxygen Concentrator,,44319,,Verified,Concentrator
West Bengal,Jalpaiguri,37,705,8101484889,Ankur Das (Green Jalpaiguri),,5/11/2021 13:07:47,Undetermined,Call not answered,
Tamil Nadu,Coimbatore,32,539,9416341441,Aggrawal Gases & Industries,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Karnataka,Bengaluru (Bangalore) Urban,19,283,9628831824,NK HealthTech International,,,,verified,Concentrator
West Bengal,North 24 Parganas,37,711,8617274695,tarun sangha club,,5/10/2021 11:00:01,Undetermined,Call not answered,
Maharashtra,Mumbai City,22,378,9838203509,"Modi Chemicals & Industries Jignest Bhai, Veer Foundation",,4/27/2021 14:25:00,,Pending,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9419108884,Kashmir Gases,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Jammu & Kashmir (UT),Srinagar,17,253,8828941313,Oxygen Mian Gases,,4/27/2021 14:25:00,,Pending,
West Bengal,North 24 Parganas,37,711,9830237206,no name,,5/10/2021 11:00:34,Available,Verified,
Maharashtra,Mumbai City,22,378,9814145420,Amol Mhaske,9880598624,"April 24, 2021 12:48 PM",Available,,Cylinder
Karnataka,Bengaluru (Bangalore) Rural,19,282,944337416209443200000,Kalyan Oxygen Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,South 24 Parganas,37,715,9836656427,no name,,5/10/2021 11:00:55,Available,Verified,
Uttar Pradesh,Agra,35,608,9957573976,Assam Air Products Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
West Bengal,South 24 Parganas,37,715,8620054293,no name,,5/10/2021 11:01:23,Undetermined,Call not answered,
Madhya Pradesh,Bhopal,21,319,8383982932,"Shree Santacruz Jain Tapagach Sangh, Santacruz",,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,South 24 Parganas,37,715,7278323285,Not known," 9903547609, 9831983648",5/10/2021 11:01:34,Available,Verified,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9837027578,Rama industries,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,South 24 Parganas,37,715,9748847715,Rahul,,5/10/2021 11:03:06,Available,Verified,
Telangana,Hyderabad,33,571,9440457488,ASIAN OXYGEN,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Uttar Pradesh,Agra,35,608,9825413638,Swami Air Products (India) Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Uttar Pradesh,Kanpur Dehat,35,650,7892718709,Ravi,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Purulia,37,714,9382699290,Joydeep Sinha Vanas,,5/11/2021 11:24:10,Undetermined,Call not answered,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9453033818,Mayur Gases Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Kolkata,37,707,9830724094,no name,,5/10/2021 11:08:14,Undetermined,Call not answered,
Bihar,Patna,8,112,7903029067,Oxygen,,,as per required,,refill
West Bengal,Purulia,37,714,7001354085,no name,,5/11/2021 11:25:39,Available,Verified,
Bihar,Patna,8,112,9623354243,Raigad Gases Piyush Mansingh,,4/27/2021 14:25:00,,Pending,
Delhi (NCT),New Delhi,12,158,9999014574,oxygen,7011272916,,,,refill
West Bengal,Birbhum,37,698,7001776364,Rajkumar,,5/11/2021 11:26:30,Undetermined,Call not answered,
Uttar Pradesh,Kanpur Dehat,35,650,9820501560,DILIP BHAI,,"April 25, 2021 7:24 PM",,,Oxygen - Refill
Rajasthan,Jaipur,30,515,9144072365,Pushpendra Choudhary,,,,Pending ,Cylinder
West Bengal,Kolkata,37,707,9163607069,Near beniapukur library,,5/10/2021 11:09:57,Unavailable,Verified,
Assam,Dibrugarh,7,64,881510895,Nameless,,"April 25, 2021 7:24 PM",,,Oxygen
Uttar Pradesh,Allahabad,35,610,850067599909885600000,Hari Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Rajasthan,Jaipur,30,515,9799885341,Rajasthan Air ,,,,Pending ,Cylinder
Karnataka,Bengaluru (Bangalore) Rural,19,282,9869766304,Dr. Vinod Kothari,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Kolkata,37,707,6290619696,Behandala hospital,,5/10/2021 11:10:31,Available,Verified,
West Bengal,Kolkata,37,707,8335016731,No name ,,5/10/2021 10:49:47,Unavailable,Verified,
Maharashtra,Mumbai City,22,378,9822123715,Scoop Industries,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Nagaland,Dimapur,26,433,9820257997,Adi Pia Enterprises,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Howrah,37,704,8961474819,no name,,5/10/2021 11:10:57,Undetermined,Call not answered,
Uttar Pradesh,Kanpur Dehat,35,650,8052655796,Keshav,,"April 25, 2021 7:24 PM",,,Oxygen - Refill
Gujarat,Vadodara,14,198,9594837086,"4 BUNGALOW, 7 BUNGALOW, VERSOVA, YARI ROAD. Nameless",,4/27/2021 14:25:00,,Pending,
Karnataka,Bengaluru (Bangalore) Rural,19,282,8210835103,-,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Maharashtra,Mumbai City,22,378,9797938140,JK Gases,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
West Bengal,Kolkata,37,707,9325025131,oxygen,9325030000,,10 l,,refill
Karnataka,Bengaluru (Bangalore) Rural,19,282,9844606963,Srinivas,,"April 25, 2021 7:24 PM",,,Oxygen
Rajasthan,Jaipur,30,515,9793148185,Rahul Ameria,,4/27/2021 2:25pm,,pending (not verified),
Maharashtra,Mumbai City,22,378,9327709913,Dev Nandan Gases Babu Amichand Panalal Jain Temple ,,4/27/2021 14:25:00,,Pending,
West Bengal,Hooghly,37,703,9830383445,Suvendu Oxygen,,5/11/2021 11:25:46,Undetermined,Phone Unreachable,
West Bengal,Hooghly,37,703,033 2885 0120,Mrityunjoy Oxygen,033 2350 0069/033 2422 6356,5/10/2021 10:41:45,Undetermined,Call not answered,
West Bengal,Hooghly,37,703,7947359645,PharmaCo ,,5/10/2021 10:41:56,Unavailable,Verified,
Jammu & Kashmir (UT),Jammu,17,241,7760230124,Naasih Foundation Allied Gases,8095800000,4/27/2021 2:25pm,,pending (not verified),
Uttar Pradesh,Lucknow,35,657,294,Adarsh Gases & Techno Industries Kay Tee Welding Gases,,4/27/2021 14:25:00,,Pending,
West Bengal,Hooghly,37,703,8961186149,Nahar Medico,8240023694,5/10/2021 10:42:01,Undetermined,Phone Unreachable,
West Bengal,Hooghly,37,703,9903374257,Medicare,9804037559,5/10/2021 10:43:54,Undetermined,Call not answered,
West Bengal,Hooghly,37,703,9038840685,Agarwal Medical," 9874539132, 9804006628",5/10/2021 10:42:51,Undetermined,Phone Unreachable,
West Bengal,Hooghly,37,703,9432257213,Shome Pharmacy,,5/10/2021 10:42:51,Undetermined,Call not answered,
Rajasthan,Jaipur,30,515,6377302033,Dr Virendra Kumar,,,,Pending ,Oxygen Bed
West Bengal,Kolkata,37,707,8967280434,Kuntal,,5/11/2021 11:32:26,Undetermined,Phone Unreachable,
West Bengal,Kolkata,37,707,9830025229,No name,,5/10/2021 10:51:54,Undetermined,Phone Unreachable,
West Bengal,Kolkata,37,707,7866833414,Sumit,,5/10/2021 10:52:08,Unavailable,Verified,
West Bengal,Kolkata,37,707,9830590021,Oxygen world,,5/10/2021 10:52:22,Will be available soon,Verified,
Maharashtra,Mumbai City,22,378,9334706552,Gaurav Air Products (Mahadev Stahan),,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,Kolkata,37,707,90518 74959,Unknown, 70035 37716,5/11/2021 11:34:55,Available,Verified,
West Bengal,North 24 Parganas,37,711,9073562583,Jibandeep Oxygen (tapas da),,5/10/2021 10:55:09,Undetermined,Phone Unreachable,
West Bengal,North 24 Parganas,37,711,9832782024,Tanmoy,,5/10/2021 10:55:37,Unavailable,Verified,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9837013757,Krishna Gas Agencies,,"April 25, 2021 7:24 PM",,,Oxygen
Uttar Pradesh,Aligarh,35,609,9374724433,Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
West Bengal,South 24 Parganas,37,715,7003473393,Bhadreswar,,5/10/2021 11:03:13,Undetermined,Call not answered,
West Bengal,Murshidabad,37,709,9434755912,"Mondal Oxygen,",,5/10/2021 12:35:41,Undetermined,Call not answered,
Uttar Pradesh,Lucknow,35,657,9889556666,Kay Tree Welding Gasses,,"April 25, 2021 7:24 PM",,,Oxygen - Refill
West Bengal,Murshidabad,37,709,9434641842,khudiram Pathagar,,5/11/2021 12:39:54,Undetermined,Call not answered,
West Bengal,Malda,37,708,9733387176,Malda Girls High Schhol,,5/11/2021 12:40:34,Undetermined,Phone Unreachable,
West Bengal,Purulia,37,714,9635778829,Cmon PURULIA ,,5/10/2021 12:45:35,Undetermined,Invalid number,
West Bengal,Birbhum,37,698,7430903557,Rahul,,5/11/2021 11:27:02,Will be available soon,Verified,
West Bengal,Birbhum,37,698,9851504923,Mahamaya Pharmacy,,5/11/2021 13:15:12,Undetermined,Invalid number,
West Bengal,Birbhum,37,698,3463252501,Bolpur Municipality,3463254870,5/10/2021 12:47:25,Undetermined,Phone Unreachable,
West Bengal,North 24 Parganas,37,711,9804454161,no name,,5/10/2021 11:09:38,Unavailable,Verified,
West Bengal,Kolkata,37,707,8178103946,Team licysos,,5/10/2021 11:12:28,Undetermined,Phone Unreachable,
West Bengal,Kolkata,37,707,9831213495,Kundu Pharmacy,,5/10/2021 22:10:39,Available,Verified,
Maharashtra,Mumbai City,22,378,8422059276,Oxygen cylinders - no name given,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Karnataka,Bengaluru (Bangalore) Rural,19,282,9835420734,Gayatri Gases,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Kolhapur,22,376,9555235409, Mahalaxmi Gases,,4/27/2021 14:25:00,,Pending,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9985636501,Oxygen Suppliers (no other name given),,"April 25, 2021 7:24 PM",,,Oxygen
Telangana,Hyderabad,33,571,9978530938,Zubin Ashara,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,7373387876,Vikram,,44317,,Verified,Cylinder
Karnataka,Bengaluru (Bangalore) Rural,19,282,9879328855,Rahmah Foundationn Anywherein Mumbai,,"April 25, 2021 7:24 PM",,,Oxygen
Madhya Pradesh,Bhopal,21,319,7860100001,Ratan lal nagar,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Ahmednagar,22,362,1171791090,"Apollo Hospital, Jasola",,"April 25, 2021 7:24 PM",,,Oxygen
Delhi (NCT),New Delhi,12,158,97367 80001,Medirent,,,,verified,concentrator
Jammu & Kashmir (UT),Jammu,17,241,9844053348,Belgaum Oxygen Pvt. Ltd. Kashmir Gas,,4/27/2021 14:25:00,,Pending,
Uttar Pradesh,Lucknow,35,657,7081329999,,,,,unreachable,cylinder
Gujarat,Gandhinagar,14,180,9706301778,Assam Air Products Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Rajasthan,Jaipur,30,515,9829057251,Wlison Air,,,,Pending ,Cylinder
Karnataka,Bengaluru (Bangalore) Rural,19,282,8899253909,S P Industries,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,9825328080,Tirupati Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Mumbai City,22,378,94440038568778730000,Barath Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Uttar Pradesh,Bareilly,35,622,99100337928178780000,Ganpati Gases,,"April 25, 2021 7:24 PM",,,Oxygen
Bihar,Patna,8,112,7979064820,National Machine Tool (Kankarbagh) Oxygen,,4/27/2021 14:25:00,,Pending,
Maharashtra,Ahmednagar,22,362,9422788259,Shriram Agencies,,"April 25, 2021 7:24 PM",,,Oxygen
Bihar,Patna,8,112,9415016923,Perhat gases Mithila Gas Agency (Kankarbagh),,4/27/2021 14:25:00,,Pending,
Karnataka,Bengaluru (Bangalore) Urban,19,283,7975708181,Prime Healers,,44317,,Verified,Cylinder
Rajasthan,Ajmer,30,500,8860411515,Mithilesh,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Thane,22,394,9820008686,SANGHANI ESTATE GHATKOPAR WEST SSD Gases Pvt. Ltd.,,4/27/2021 14:25:00,,Pending,
Uttar Pradesh,Allahabad,35,610,8809989999,Sanjay Sarcar,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Kolhapur,22,376,99002568109611580000,M.S.P.L. Gases,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Karnataka,Bengaluru (Bangalore) Urban,19,283,9448821347,Unity Gas,,May 3. 14:00 PM,,verified,Cylinder
Maharashtra,Mumbai City,22,378,9923556483,Speed oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,9741385604,Srikanth Krishna,,3 May. 19:11 PM,600 for rent 6000 - 7000/ month,verified,Cylinder
Bihar,Samastipur,8,116,1234567890,Oxygen - Samastipur,,,,3rd_party_verified,refill
Rajasthan,Jaipur,30,515,7014294932,Pinak Sharma O2,,,,Pending ,Cylinder
Gujarat,Surat,14,200,99251101069099160000,Aims Oxygen Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Mumbai City,22,378,9304120054,Jumbo Oxygen Cylinder in AGAMKUAN,,"April 25, 2021 7:24 PM",,,Oxygen
Gujarat,Patan,14,192,9334206111,Oxygen Shital Gas,,4/27/2021 14:25:00,,Pending,
Rajasthan,Jaipur,30,515,9829104707,Mustufa MM Gas,,,,Pending ,Refill
Haryana,Gurgaon,15,206,9873478788,Oxygen - Gurugram,,,,verified,cylinder
Maharashtra,Mumbai City,22,378,9215586713,Arun Oxygen Limited,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Delhi (NCT),New Delhi,12,158,8595785545,Oxygen concentrators,,,,3rd_party_verified,concentrator
Uttar Pradesh,Aligarh,35,609,98921416649920070000,"Shree Sankheshwar Bawan Jinalay Murtipujak Jain Sangh, Thane",,"April 25, 2021 7:24 PM",,,Oxygen
Uttarakhand,Dehradun,36,687,918057198249,Dun surgico and medical agency,,,,,concentrator
Maharashtra,Mumbai City,22,378,9769564544,Kaushik shah,8599989444,"April 24, 2021 4:54 PM",,,
Karnataka,Bengaluru (Bangalore) Urban,19,283,7397449991,Entrusted Medical Devices,,,,verified,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9422775792,Harshita GasesPvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Odisha,Khordha,27,462,9937000587,Anand Industrial Gasses Pvt Ltd,,,,verified,refill
Karnataka,Bengaluru (Bangalore) Urban,19,283,8618373571,J K Home health cares,,,,verified,Cylinder
Telangana,Hyderabad,33,571,8826513407,in Kalkaji (Paras),,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Delhi (NCT),New Delhi,12,158,1123712581,Oxygen,,,as per required,,oxygen bed
Chhattisgarh,Raipur,10,148,9845063119,Universal Air Products Subhashish Guha Lupin Gases Pvt. Ltd.,,5/1/2021 15:50:00,,Pending,
Tamil Nadu,Chennai,32,538,9987005090,Ellenbarrie Industrial Gases Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Uttar Pradesh,Lucknow,35,657,9415040705,Murari Gases Pvt. Ltd.,9235302425,,,3rd_party_verified,refill & cylinder
Gujarat,Surat,14,200,9867118211,Olive Trust Pranav Oxygen,,4/27/2021 14:25:00,,Pending,
Bihar,Patna,8,112,7860023117,Ketee Welding Bansi Air Product,,4/27/2021 14:25:00,,Pending,
Kerala,Thrissur,1,8,9892289596,"Mukesh Bhai / Arvind Bhai, Veer Foundation Vigneswara Oxygen",9820130000,4/27/2021 14:25:00,,Pending,
Uttar Pradesh,Kanpur Dehat,35,650,9419241151,Kashmir Gas,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Karnataka,Bengaluru (Bangalore) Urban,19,283,9886543235,Sagar health seva,,44321,,Verified,Cylinder
Uttar Pradesh,Lucknow,35,657,99362332900,parerhat gas,,4/729/2020 10:15pm,,,Cylinder
Maharashtra,Mumbai City,22,378,9648624133,Benaras Pharmacy,,"April 25, 2021 7:24 PM",,,Oxygen
Rajasthan,Jaipur,30,515,9928012858,Manik O2,,,,Pending ,Cylinder
Telangana,Hyderabad,33,571,8121666666,Ravindra Medical and Industrial Gases ,9490823456,,,3rd_party_verified,refill & cylinder
Karnataka,Bengaluru (Bangalore) Urban,19,283,9789493712,Peenya Industrial Gases Pvt,9686196642,44319,,Verified,Cylinder
Tamil Nadu,Erode,32,543,990070656407947200000,Pioneer Lifecare Systems,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Mumbai City,22,378,9422045716,Kolhapur Oxygem,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,9334122588,Patna Engineering,,"April 25, 2021 7:24 PM",,,Oxygen
Telangana,Hyderabad,33,571,9989462127,Faaz Oxgen ,,,,not verified,refill & cylinder
Karnataka,Bengaluru (Bangalore) Urban,19,283,9900520159,Chethan,,44319,,Verified,Concentrator
Karnataka,Bengaluru (Bangalore) Rural,19,282,9686198986,Peenya Industrial Gases,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Nashik,22,383,9424,Rohit Agarwal - Rimjhim Ispat Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Telangana,Hyderabad,33,571,8886991331,Gurudwara Saheb Secundrabad,,,,verified,refill
Telangana,Hyderabad,33,571,7207278701,Oxygen cylinders ,,,,not verified,refill & cylinder
Maharashtra,Dhule,22,370,9359931390,Aggrawal Gases,,"April 25, 2021 7:24 PM",,,Oxygen
Uttar Pradesh,Lucknow,35,657,9345054900,Vaideeswara Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,9837004798,Universal gases,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,8494922600,Shabrish Oxygen,,44316,,Verified,Concentrator
Gujarat,Gandhinagar,14,180,8999242424,Sahni Gases,,"April 25, 2021 7:24 PM",,,Oxygen
Bihar,Patna,8,112,9422295082,Shashi Machinery & Agencies,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,90355887589535510000,Eureka Gases,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Rajasthan,Jaipur,30,515,9409102457,J.H. Kamboj Ankur Gases (Jaipur),,4/30/2021 20:48:00,,Invalid,
Delhi (NCT),New Delhi,12,158,9815221969,Orbit Gases,,,,3rd_party_verified,refill
Karnataka,Bengaluru (Bangalore) Rural,19,282,98200476129821050000,"Nilesh Bhai / Amrut Bhai, Veer Foundation",,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Jharkhand,Ranchi,18,274,9977939501,"MR 10 Chauraha, ",,4/27/2021 14:25:00,,Pending,
Telangana,Hyderabad,33,571,9989462128,Faaz Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Tamil Nadu,Chennai,32,538,9382766778,,,,,verified,concentrator
Rajasthan,Jaipur,30,515,9755502300,Near Nirwana Hotel,,"April 25, 2021 7:24 PM",,,Oxygen
Delhi (NCT),New Delhi,12,158,011 2435 3212,Damdama Sahib Gurudwara,,,,unreachable,
Delhi (NCT),New Delhi,12,158,9886871454,Super Pharma Oxygen,,4/27/2021 14:25:00,,Pending,
Rajasthan,Jaipur,30,515,8048763646,Ankur Speciality Gases & Technologies,9314648435,,,3rd_party_verified,refill
Tamil Nadu,Chennai,32,538,9840029067,Oxygen - Chennai,,,,unreachable,cylinder
Uttar Pradesh,Agra,35,608,77278255639435760000,Himalayan Air Products,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders For Home Use
Uttar Pradesh,Lucknow,35,657,7844038913,Bhupendra Kumar ,,4/25/2021 15:43:00,,Call again,
Maharashtra,Mumbai City,22,378,9370025610,Laxmi Gases,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,22277129089892560000,"Rasik Bhai / Damji Bhai, Veer Foundation",,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Uttar Pradesh,Aligarh,35,609,6381732094,Vaideeswara oxygen Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Mumbai City,22,378,7408290732,Alok Shri Tardeo Swetamber Murtipujak Jain Sangh,,4/27/2021 14:25:00,,Pending,
Gujarat,Rajkot,14,194,8601299777,Oxygen ,,4/27/2021 14:25:00,,Pending,
Karnataka,Bengaluru (Bangalore) Rural,19,282,9889109875,"RK OxygenPlot no. 246, Kamlabaad barauliBakshi ka talaab, Chattamil Lucknow",,"April 25, 2021 7:24 PM",,,Oxygen - Refill
Tamil Nadu,Chennai,32,538,8045384408,DC Ranganathan Agency,,,,verified,cylinder
Karnataka,Bengaluru (Bangalore) Urban,19,283,87921 59871,Mohit 02,,,,verified,"refill, cylinder & concentrator"
Karnataka,Bengaluru (Bangalore) Urban,19,283,9940033333,O2-Matic (oxygen generators),,44321,,Verified,Cylinder
Delhi (NCT),New Delhi,12,158,9311633256,Swastik Traders,,,,3rd_party_verified,refill
Delhi (NCT),New Delhi,12,158,9891220211,Oxygen Refill Motinagar,,,,verified,refill
Tamil Nadu,Chennai,32,538,9382266778,Oxygen - Chennai,,,,verified,concentrator
Uttar Pradesh,Mathura,35,661,9334050455,Babu Gas Agency (Kankarbagh),,"April 25, 2021 7:24 PM",,,Oxygen
Gujarat,Mehsana,14,187,9820255444,Upen Bhai oxygen Hiltone Gas,,5/1/2021 15:50:47,,Pending,
Karnataka,Bengaluru (Bangalore) Urban,19,283,9442607065,kaveri industrial gases,,44317,,Verified,Cylinder
Delhi (NCT),New Delhi,12,158,7011283381,Oxygen provider,,,,unreachable,refill
Bihar,Madhubani,8,107,1234567890,Oxygen - Madhubani,,,,3rd_party_verified,refill
Rajasthan,Jaipur,30,515,8802625297,Zaki Shadan,,,,Pending ,Refill
Delhi (NCT),New Delhi,12,158,9810754021,Pawar Medicare,9899576076,,,3rd_party_verified,refill
Rajasthan,Jaipur,30,515,8559845818,Sharma O2,,,,Pending ,Cylinder
Maharashtra,Mumbai City,22,378,8048115761,Nameless,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,8105944244,Anoop,,44317,,Verified,Concentrator
Maharashtra,Thane,22,394,9824058898,Oxygen Nameless,,4/27/2021 14:25:00,,Pending,
Karnataka,Bengaluru (Bangalore) Urban,19,283,8082382468,No Name Allcare Medical systems,,4/27/2021 14:25:00,,Pending,
Maharashtra,Mumbai City,22,378,9004874823,Not specified,,"April 25, 2021 7:24 PM",,,Others
Uttar Pradesh,Gorakhpur,35,641,9889629140,Lovely gas company,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Ahmednagar,22,362,9431105512,Pawan Engineering,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Urban,19,283,9945333356,Sageer Ahmed,,6th May. 1:22 PM,,verified,Cylinder
Telangana,Hyderabad,33,571,6204867980,Aatif,,"April 25, 2021 7:24 PM",,,Oxygen
Rajasthan,Udaipur,30,532,9007744666,Shantinath Air Products ,,4/27/2021 14:25:00,,Pending,
Karnataka,Bengaluru (Bangalore) Urban,19,283,9900083966,vinayaka gas,,,,verified,Cylinder
Rajasthan,Jaipur,30,515,9829043416,Earnest Gases,,,,Pending ,Cylinder
Jharkhand,Ranchi,18,274,1234567890,Oxygen - Ranchi,,,,3rd_party_verified,refill
Karnataka,Bengaluru (Bangalore) Urban,19,283,9886004692,Fouray Systems,9535477771,0.4930555556,,verified,Concentrator
Maharashtra,Mumbai City,22,378,9881491680,Kay Nitrogen,,"April 25, 2021 7:24 PM",,,Oxygen
Tamil Nadu,Chennai,32,538,9383555555,Ram Kishore,,,,verified,cylinder
Karnataka,Bengaluru (Bangalore) Urban,19,283,9902587765,Med Hire,,,,verified,
Karnataka,Bengaluru (Bangalore) Urban,19,283,9880005974,Jaimat Ulama,,6 May. 12.15PM,,verified,Cylinder
Bihar,Saran,8,117,1234567890,Oxygen - Saran,,,,3rd_party_verified,refill
Rajasthan,Jaipur,30,515,8048719363,Salasar Carbonics Pvt. Ltd.,0141 2601701,,,3rd_party_verified,refill
